features,Cluster.Index,M/Z,RT,Annotation,Cosine.Score,No..of.Shared.Peaks,Mass.Diff..to.Library.Reference,ppm.error,Analog?,Nearest.Neighbors,Proximity,CF_class,CF_Dparent,CF_kingdom,CF_MFramework,CF_subclass,CF_superclass,fch_147L_147V,fch_147L_147WG,fch_147L_165L,fch_147L_165V,fch_147L_165WG,fch_147L_291L,fch_147L_291V,fch_147L_291WG,fch_147V_147WG,fch_147V_165L,fch_147V_165V,fch_147V_165WG,fch_147V_291L,fch_147V_291V,fch_147V_291WG,fch_147WG_165L,fch_147WG_165V,fch_147WG_165WG,fch_147WG_291L,fch_147WG_291V,fch_147WG_291WG,fch_165L_165V,fch_165L_165WG,fch_165L_291L,fch_165L_291V,fch_165L_291WG,fch_165V_165WG,fch_165V_291L,fch_165V_291V,fch_165V_291WG,fch_165WG_291L,fch_165WG_291V,fch_165WG_291WG,fch_291L_291V,fch_291L_291WG,fch_291V_291WG
X245.1855_2.1_521,521,245.1855,2.1,Spectral Match to Ile-Leu from NIST14,0.98462,6,0.00050354,2.05371,No,Spectral Match to Ile-Leu from NIST14,First Analog,Carboxylic acids and derivatives,Phenylalanine and derivatives,Organic compounds,Aromatic homomonocyclic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes
X382.2933_2.73_548,548,382.2933,2.73,Massbank:RP025103 Oleoyl-L-Carnitine|(3R)-3-[(Z)-octadec-9-enoyl]oxy-4-(trimethylazaniumyl)butanoate,0.790301,5,44.0647,103351,Yes,LAUROYLCARNITINE,First Analog,Fatty Acyls,Acyl carnitines,Organic compounds,Aliphatic acyclic compounds,Fatty acid esters,Lipids and lipid-like molecules,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,Yes,Yes
X309.1647_0.27_607,607,309.1647,0.27,Fructoselysine,0.795043,8,0.00228882,7.40318,No,Self-Loop,Self-Loop,Carboxylic acids and derivatives,Alpha amino acids,Organic compounds,Aliphatic acyclic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives,Yes,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes
X217.0679_0.25_693,693,217.0679,0.25,Spectral Match to Pro-Leu from NIST14,0.731984,4,12.0871,52746.4,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes
X438.2961_2.92_817,817,438.2961,2.92,TOP 8 Psoriasis feature - Unknown FeatureID=4262,0.703182,7,0.00088501,2.0192,No,TOP19 Psoriasis feature - Unknown FeatureID=3668,First,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes
X357.2773_2.72_833,833,357.2773,2.72,Spectral Match to 3.beta.-Hydroxy-5-cholenoic acid from NIST14,0.73938,12,0.000701904,1.96459,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X574.7816_2.31_962,962,574.7816,2.31,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes
X311.2567_3.23_1019,1019,311.2567,3.23,NCGC00381425-01!8-hydroxy-8-(3-octyloxiran-2-yl)octanoic acid [IIN-based on: CCMSLIB00000846585],0.809285,13,14.0141,47147,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,Yes,NA,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes
X307.6967_2.14_1141,1141,307.6967,2.14,Spectral Match to Pro-Val from NIST14,0.738031,6,399.247,430223,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,Yes,NA,NA,Yes,NA,Yes,NA,Yes,NA,Yes,NA,Yes,Yes,Yes,Yes,NA,Yes
X389.2667_2.61_1150,1150,389.2667,2.61,"(10E,15E)-9,12,13-trihydroxyoctadeca-10,15-dienoic acid",0.722983,10,78.0457,250773,Yes,"""(4R)-4-((3R,5S,6S,7R,8R,9S,10R,12S,13R,17R)-3,6,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",First,Steroids and steroid derivatives,"Tetrahydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes
X353.2458_2.61_1213,1213,353.2458,2.61,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,Steroids and steroid derivatives,"Tetrahydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,NA,NA,Yes,Yes,NA,Yes,Yes,NA,NA,NA,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,Yes
X464.3115_2.95_1359,1359,464.3115,2.95,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes
X593.3313_2.43_1362,1362,593.3313,2.43,Spectral Match to Urobilin from NIST14,0.758298,17,2.01428,3406.43,Yes,Spectral Match to Urobilin from NIST14,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes
X817.5779_2.67_1364,1364,817.5779,2.67,Spectral Match to Cholic acid from NIST14,0.819967,15,0.00311279,3.80732,No,Spectral Match to Cholic acid from NIST14,First,Steroids and steroid derivatives,"Tetrahydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,NA,Yes,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,Yes
X591.3157_2.44_1365,1365,591.3157,2.44,Spectral Match to Urobilin from NIST14,0.737355,16,0.00134277,2.27082,No,Spectral Match to Urobilin from NIST14,First,Tetrapyrroles and derivatives,Bilirubins,Organic compounds,Aromatic heteromonocyclic compounds,Bilirubins,Organoheterocyclic compounds,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes
X595.3471_2.44_1366,1366,595.3471,2.44,Stercobilin,0.921025,19,0.00286865,4.81843,No,Self-Loop,Self-Loop,Tetrapyrroles and derivatives,Bilirubins,Organic compounds,Aromatic heteromonocyclic compounds,Bilirubins,Organoheterocyclic compounds,NA,Yes,Yes,Yes,Yes,NA,NA,NA,Yes,Yes,Yes,Yes,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA
X258.0941_0.32_1370,1370,258.0941,0.32,ReSpect:PM018116 sn-Glycero-3-phosphocholine,0.785029,4,0.0158997,61.6003,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,Yes,Yes,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,Yes,Yes
X375.2878_2.83_1371,1371,375.2878,2.83,Spectral Match to 3.beta.-Hydroxy-5-cholenoic acid from NIST14,0.780989,15,18.0098,50408.4,Yes,"(3Z, 7E, 11Z)-15-hydroxycembra-3,7,11-trien-19-oic acid",First Analog,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,NA,NA
X505.7845_2.11_1372,1372,505.7845,2.11,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,Yes
X321.1795_2.44_1374,1374,321.1795,2.44,NA,NA,NA,NA,NA,No,NA,None,Tetrapyrroles and derivatives,Bilirubins,Organic compounds,Aromatic heteromonocyclic compounds,Bilirubins,Organoheterocyclic compounds,Yes,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,NA
X799.5673_2.67_1376,1376,799.5673,2.67,Spectral Match to Cholic acid from NIST14,0.81985,14,18.0137,22032.9,Yes,Spectral Match to Cholic acid from NIST14,First,Steroids and steroid derivatives,"Tetrahydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,Yes,Yes,NA,NA,Yes,Yes
X912.5462_2.61_1377,1377,912.5462,2.61,Spectral Match to Cholic acid from NIST14,0.809848,16,94.9652,116154,Yes,"""(4R)-4-((3R,5R,7R,9S,10S,12S,13R,14S,17R)-7,12-dihydroxy-10,13-dimethyl-3-(sulfooxy)hexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",First Analog,Steroids and steroid derivatives,"Tetrahydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,NA,NA,NA,Yes,Yes,Yes,NA,Yes,NA
X426.3194_2.67_1380,1380,426.3194,2.67,Spectral Match to Cholic acid from NIST14,0.893259,16,0.00259399,6.08459,No,Spectral Match to Cholic acid from NIST14,First,Steroids and steroid derivatives,"Tetrahydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,Yes,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,Yes,Yes
X881.5395_2.83_1381,1381,881.5395,2.83,"""(R)-4-((3R,5S,7R,8R,9S,10S,12R,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",0.78839,17,63.9575,78227.7,Yes,Spectral Match to Cholic acid from NIST14,First Analog,Steroids and steroid derivatives,"Tetrahydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA
X834.6049_2.67_1384,1384,834.6049,2.67,Spectral Match to Cholic acid from NIST14,0.830868,15,17.0239,20822.3,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,NA,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,Yes
X801.583_2.83_1390,1390,801.583,2.83,Spectral Match to Cholic acid from NIST14,0.748531,15,15.998,19567.5,Yes,Spectral Match to Cholic acid from NIST14,Second,Steroids and steroid derivatives,"Tetrahydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes
X261.1437_0.39_1391,1391,261.1437,0.39,Spectral Match to Ile-Glu from NIST14,0.911457,6,0.00430298,16.4772,No,Spectral Match to Ile-Glu from NIST14,First,Carboxylic acids and derivatives,Dipeptides,Organic compounds,Aliphatic acyclic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA
X897.5342_2.66_1392,1392,897.5342,2.66,Spectral Match to Cholic acid from NIST14,0.822031,16,79.9532,97792.4,Yes,Spectral Match to Cholic acid from NIST14,First,Steroids and steroid derivatives,"Tetrahydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,NA,NA,NA,Yes,Yes,NA,NA,NA,NA
X407.2773_2.62_1395,1395,407.2773,2.62,"NCGC00384809-01!5-[5-hydroxy-3-(hydroxymethyl)pentyl]-8a-(hydroxymethyl)-5,6-dimethyl-3,4,4a,6,7,8-hexahydronaphthalene-1-carboxylic acid [IIN-based on: CCMSLIB00000847958]",0.781449,15,70.0397,207687,Yes,"""(4R)-4-((3R,5R,6S,7R,9S,10R,12S,13R,14S,17R)-3,6,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",First,Steroids and steroid derivatives,"Tetrahydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,NA,NA,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,NA,Yes,Yes,NA,NA,Yes,Yes
X339.2665_2.83_1397,1397,339.2665,2.83,"6,10a-dihydroxy-4-(hydroxymethyl)-4,7,11b-trimethyl-1,2,3,4a,5,6,6a,7,11,11a-decahydronaphtho[2,1-f][1]benzofuran-9-one",0.731522,11,28.9765,78688.5,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,NA,NA,Yes,Yes,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA,Yes,NA,Yes,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,NA,NA,NA
X364.2203_2.16_1400,1400,364.2203,2.16,Spectral Match to Ile-Pro-Lys from NIST14,0.722901,11,370.184,19513.9,Yes,Spectral Match to Ile-Ile-Lys from NIST14,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,NA,Yes,NA,Yes,NA,Yes,NA,Yes
X247.1282_0.5_1402,1402,247.1282,0.5,Spectral Match to Glu-Val from NIST14,0.704169,6,0.00379944,15.3741,No,Spectral Match to Glu Phe from METLIN,First,Carboxylic acids and derivatives,Phenylalanine and derivatives,Organic compounds,Aromatic homomonocyclic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes
X466.3275_3.02_1403,1403,466.3275,3.02,TOP19 Psoriasis feature - Unknown FeatureID=3668,0.706506,7,0.000488281,1.04708,No,TOP 8 Psoriasis feature - Unknown FeatureID=4262,First,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes
X466.8997_2.16_1404,1404,466.8997,2.16,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA
X212.139_0.35_1406,1406,212.139,0.35,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,Yes,Yes,Yes,NA,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA
X274.068_0.26_1408,1408,274.068,0.26,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,Yes,Yes,Yes,Yes,NA,NA,NA,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,Yes,Yes
X313.2107_2.53_1413,1413,313.2107,2.53,Spectral Match to Leu-Pro from NIST14,0.822543,4,84.0557,366807,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes
